text,true,pred,prob_pred,correct,true_labels,pred_labels
<SOS> return home late work hear something causing chaos panic small city town across country town next someone called sparky follower looking something someone started home not sure dont want find experience multiple level scare panic confusion try keep sparky friend home react quickly dire situation last sunrise unlock secret discover final conclusion could happen invader different quality random event guarantee every time play unique experience survive week get killed find radio gain clue lev,other,adventure,0.6611950993537903,0,other,adventure|other
<SOS> <UNK> action survival shooter focus immersion gunplay freedom player cleanse world hundred roaming robot sleeper fighting together story military project called quotsuper <UNK> meant accelerate outcome war save million soldier's life humanoid fighting robot designed cheaply produced mass thick armor plate self destructive explosive charge capable carrying heavy weapon ammunition year massive loss enemy side started deploy radar trailer attempt disturb robot communication system cut master ,action,action,0.987993597984314,1,action,action|violent
<SOS> richard alice prisoner cell leather sofa stateoftheart computer richards tv outside snow fall done time elsewhere say part world rendered inhospitable desert earth parched cracked people live zone lucky one anyway richard alice secret created lewis <UNK> ashton raze whose journalism credit include like eurogamer gamespot telegraph richard amp alice riveting mystery story family desperation weather set beat indie adventure <EOS>,adventure,adventure,0.8274781107902527,1,adventure,adventure
<SOS> shady corner <UNK> bay outskirt st armando bwana trusted sidekick kito struggle make end meet rundown gas station little know thrown spinetingling adventure take far home right twisting plot corruption danger first chapter journey search lost journal lead forgotten secret mysterious underland follow bwana kito puzzle way forward begin uncover true fate long lost father captain <UNK> journey classic pointandclick saga <UNK> twist get ready embark epic journey laugh brainteasing adventurefea,adventure,adventure,0.9196610450744629,1,adventure,adventure
<SOS> long run way discover peculiar object solar system like planet asteroid moon trying survive hostile environment play futuristic astronaut must find way build colony gathering resource trying survive need build many structure help exploring planet make colony grow number able build drive vehicle performs differently depending planet gravity help quickly gather resource building system easy use build huge structure across map map open world completely explorable landscape made basing real te,action,simulation,0.6091503500938416,0,action|adventure|simulation|strategy,simulation
<SOS> <UNK> <UNK> gameby default safe locked digital code task collect digital code solve puzzle code collected safe opened get content pick digital code safe need move teleport <UNK> digital block together time take account gravity time bomb destroy wall make mistake solving puzzle try remember number attempt collect digital code time <UNK> support two save mode checkpoint passed level complete distribution includes 60 level <EOS>,strategy,other,0.9269283413887024,0,strategy,other
<SOS> magic <UNK> ghostly jrpg wanders downthe mysterious country filled <UNK> people walk around fall <UNK> mission fade <UNK> computer rpg window macintosh linux operating system <UNK> space funeral goblet grotto original soundtrack new vaders goblet grotto mouse corp action rpg adventure adventure adventure approximate <UNK> <UNK> gameplay capsule toy collection <UNK> find many toy inside ruin circular narrative mean drop <UNK> <UNK> <UNK> videogame <UNK> hope getthe magic <UNK> played <UNK> ,adventure,rpg,0.9626716375350952,0,adventure|rpg,adventure|rpg
<SOS> critical annihilation twinstick shmup shootem made entirely tiny voxels take advantage voxel technology hype explosive gameplay everything destructible core home planet get invaded alien decide take arm rest planet annihilate every single alien site progress bring whole new planet like moon mar reached alien mothership exactly cliche alien attacking cliche planet good old fashion cliche way find destroy every cube played popular youtubers markiplier jacksepticeye critical mass updated art ,action,action,0.8681869506835938,1,action,action
<SOS> pick 2 animal giant list use algorithm morph together hybrid unique stats perk test friend <UNK> kind way million possibility <UNK> 7 gamemodes plus bunch challenge map adding content whenever hence early access add creature whatever movie think try morphing animal support come online multiplayer amp <UNK> amp experimental mode <EOS>,action,other,0.5530332326889038,0,action|simulation,other
<SOS> 80 time human race obnoxious pop culture contend <UNK> world war iii nearing demise earth begin catch breath threatened yet another menace unlike preposterous mullet inhabitant however one invisible parasitic organism capable making host unsuspecting human being consuming whats left soul wreaking unfathomable <UNK> spreading <UNK> law declared make way global hunt battlehardened law enforcer made ally degenerate criminal rest world <UNK> paranoia yet trusted see let alone destroy thats wor,action,action,0.8395388126373291,1,action|adventure,action
<SOS> originally jam crown council casual strategy geopolitical drama conquer expand build develop kingdom foe <UNK> council relied procedural generation 75 included map generator built generate new map fly <EOS>,strategy,simulation,0.8354107141494751,0,strategy,simulation|strategy
<SOS> ripped pant work frantic stealth searching new pant player control ordinary office worker first day work unfortunate incident involving pencil floor pant way tight player must venture office city hunt new <UNK> small open city filled different pair pant player challenge find pant shortest amount time pant easy find bit trickier happens everybody ripping pant one thing everyone <UNK> still embarrassing every time play control new randomly generated <UNK> find pant successfully continue pers,action,adventure,0.5859454870223999,0,action,adventure
<SOS> commander order not discussed received order take weapon go fulfill command facing enemy horde use power weapon experience previous battle number size opponent not matter sure victory command order <UNK> tense shooter battle massive enemy battalion alone tank helicopter <UNK> key <UNK> level varying <UNK> type real <UNK> type <UNK> type <UNK> <UNK> <UNK> clean forty level enemy step step far <UNK> enemy coming making last stand long survive <EOS>,action,action,0.9681442975997925,1,action,action
<SOS> suspense twist made <UNK> sister brand skyfish special touch female screenplay writer brought whole new level group youngster suffered memory loss got lost mansion wood fate story vast jade sea there's nothing deep green leaf no one escape met beautiful lake mansion 12 people living library instrument room place like heaven u group youngster remember anything come place there's no way definitely no way no way deep darkness leave want no guarantee get called place stunning ugly place <UNK> ,adventure,adventure,0.7492782473564148,1,adventure|rpg,adventure
<SOS> <UNK> beginning calendar decade continent adania era produced splendid civilization continent adania also place god's curse no matter kind civilization every thousand year collapse continental <UNK> completely disappear remains pitiful relic family <UNK> aegis earth several civilisation <UNK> mission save civilization age <UNK> civilization <UNK> civilization enjoying nearly thousand year quiet time earth's surface <UNK> frequently threat civilization's annihilation helpless despair brough,adventure,rpg,0.8980054259300232,0,adventure|strategy,rpg|simulation|strategy
<SOS> new dlc <UNK> <UNK> soundtrack dlc <UNK> <UNK> 's developer <UNK> <UNK> <UNK> <UNK> music mixing guitar bass keyboard drum <UNK> kelly <UNK> production vocal bad pad theme prologue great battle past future tension evil <UNK> evil plan final stand <UNK> <UNK> vocal <UNK> <UNK> sh additional composition keyboard <UNK> digital <UNK> <UNK> enterprise present <UNK> world's first brain wave gaming systemexperience unbelievably realistic world without physical contact go <UNK> selected group pion,action,adventure,0.7007746696472168,0,action,action|adventure
<SOS> minimal physical puzzle explosion 60 level <UNK> achievementstrading cardsemoticonscreditsquotzupquot powered clickteam fusion 25the basis taken example sergio <UNK> panel steam's background invented <UNK> <EOS>,other,other,0.9665337204933167,1,other,other
<SOS> avg darker theme crude art style kinematic progression story resolve folktale <UNK> concrete building unknown origin enjoy tea menacing presence upon immerse <UNK> 5k word <UNK> folklore traverse script become culturally enriched today <UNK> <UNK> underground russian <UNK> series storyline siberian rebel planning occult ritual sole <UNK> agent sent resolve situation content tea party instead fine mention sport spinning empty bottle feature rich sprite animation disturbing atmosphere charac,other,adventure,0.7246006727218628,0,other,adventure
<SOS> burst <UNK> shoot 'em unique customizable ship feature fused modern graphic gorgeous art style inspired lot classic shoot 'em <UNK> <UNK> peaceful planet suddenly invaded hostile mechanical alien race desperation <UNK> found strange message revealed blueprint technology could overcome <UNK> force follow queen <UNK> story line fight way source invader planet located <UNK> ship wing weapon color core suit playstyle 36 part situation bos <UNK> player local coop <UNK> ship experimental blade m,action,action,0.9634511470794678,1,action,action
<SOS> en little reaper find lost grim otherworld help find way back treacherous obstacle threatening <UNK> rely heavily reflex complete 30 level spanning 6 location beat 3 unique boss ru 30 6 3 <EOS>,adventure,other,0.6242404580116272,0,adventure,action|adventure|other
<SOS> cute characters' journey find cool drink wilderness <UNK> enjoyed lightly keyboard <UNK> move maze find coin vending machine pick cool beverage <UNK> maze puzzle arcade move 3d maze 20 level 10 selectable character different stats 30 trap obstacle 20 different mob number challenge clear time result statistic show direction beginner zoom function wider view <EOS>,adventure,other,0.7394951581954956,0,adventure,adventure|other
<SOS> tired recalling robot working simulated job training pirate space enjoying weather arizona time take relaxing trip dreamtank sweeping musical journey take randomly generated alien world <UNK> vr experience dreamtank contains ten different <UNK> musical score drive <UNK> experience beginning simple shape <UNK> color palette <UNK> play world become vivid shape complex color vibrant watch sun rise set alien world see massive object float sky watch distant comet burn night sky <UNK> star <UNK>,other,action,0.6760019659996033,0,other,action|simulation
<SOS> war come <UNK> endless conflict rage seven warrior discover ancient power promise mastery <UNK> developer <UNK> war war theatre expands classic turnbased strategy gameplay rpg element choose hero take battle singleplayer campaign set continent ravaged ceaseless war complete quest earn perk unlock deeper customization option refine strategy dominate opponent online local multiplayer <EOS>,rpg,strategy,0.9833657145500183,0,rpg|strategy,strategy
<SOS> <UNK> neon world undergo complex dynamic <UNK> reach goal end leveleach level design unlike <UNK> level difficulty increase creating variety interesting <UNK> new level gameplay increase adding different trap <UNK> saw moving wall much not let get bored lose interest gamealso meet boss kind <UNK> different level test <UNK> lot different trap <UNK> difficult <UNK> move neon graphic pleasant soundtrack <EOS>,action,other,0.8179187178611755,0,action,other
<SOS> pegasus door mix fps tower defense vr prequel location based vr experience currently development paris france eliminate successive wave robot come get buy new weapon upgrade efficiency <EOS>,action,strategy,0.7843915820121765,0,action,simulation|strategy
<SOS> <UNK> <UNK> hybrid classic fastpaced topdown shmup action infused deep character building element slowly build ship suit particular playing style perhaps prefer passive build <UNK> high firepower strong <UNK> specially customised homing missile drone fire automatically moving enemy tank build strong shield armor defensive special ability spellcaster numerous devastating special attack ability control time weapon upgrade ability spell <UNK> separately customisable build exactly character wa,action,action,0.9540985226631165,1,action|rpg,action
<SOS> turret architect incremental get build <UNK> always something build new tile upgrade old one collect gold expand map find sky <UNK> mob get gold use turret automate <UNK> use spawner spawn mob selected location filling life essence collected life <UNK> pick gold gold collector's speed time selected area <UNK> map finding sky island goody include useful player abilitiesupgrade turret increasing damage upgrade spawner fight tougher mob drop gold upgrade life plant feed increasing need spawne,simulation,simulation,0.8068565726280212,1,simulation,simulation|strategy
<SOS> builder designed empower person create 3d video gamesfeatures easily find use free 3d model poly image google image <UNK> level environment easytouse construction <UNK> steam workshop get <UNK> made others play <UNK> code <UNK> using <UNK> know code use builtin behavior bring life <EOS>,simulation,other,0.8154712915420532,0,simulation,other
<SOS> lace boot grab <UNK> awaits central america discover mysterious aztec treasure exciting match3 gameit began simple research expedition disaster strike crew coast central america shipwreck help near <UNK> native <UNK> agrees accompany quest find ancient temple aztec first though youll need free holy path terrible curse left behind aztec ruler puzzling level level enthralling match3 <UNK> measure challenge remain prisoner primeval jungle <UNK> enthralling match3 levels8 exciting story <UNK> ,other,other,0.7888307571411133,1,other,other
<SOS> great war goose human come end remains goose empire <UNK> past take human hunting reclaim world name goose <UNK> quick fun adventure starring purple <UNK> accurate portrayal goose video history citation needed tactical goose espionage sneaky stealth <UNK> bunch <UNK> <UNK> goose reign supreme <EOS>,adventure,adventure,0.6615095734596252,1,adventure|rpg,adventure|other
<SOS> shaolin v <UNK> 1 1 indie casual combat featuring hand hand weapon combat great music inspired graphic no flashy top effect combat influenced classic kung fu film feature authentic fighting sound film licensed soundtrack great music classic kung fu movie shaolin v <UNK> real love letter classic 70's 80's kung fu cinema indie passion project made one person tremendous passion knowledge kung fu film not intention provide experience big budget fighting rather hope provide player satisfying ga,action,action,0.9692357182502747,1,action,action
<SOS> hotdog man recreational puzzle need control direction strength character eat hot dog successfully play <UNK> <UNK> wheel control direction left mouse button launched eat hot dog get different girl level secret code input r18 <EOS>,simulation,other,0.8431863188743591,0,simulation,other
<SOS> indulge lady <UNK> see far lovingly violent dungeon delve 2d indie action <UNK> platformer new room procedurally generated every time play meaning guard every <UNK> enemy elite bos treasure chest come <UNK> room get progressively bigger harder rewarding <UNK> concept simple yet hard <UNK> shield block enemy <UNK> shield strike foe timing <UNK> move avoid trap use shield reduce damage <UNK> key advance next <UNK> weapon outfit headgear shield various rarity aid <UNK> soul slain enemy increa,action,action,0.9535131454467773,1,action,action
<SOS> addictive apocalyptic action long survive vast onslaught deadly attack try survive long longer friend player around world highly addictive space action <UNK> learn hard <UNK> changing direction thing need learn survive chaotic space timing precision make difference watch deadly energy beam time next jump survive venture <UNK> less <UNK> endless <UNK> final chaos utilizes core twobutton gameplay popularized 2d endless runner genre unique arrangement procedurally generated level offer player,action,action,0.9731333255767822,1,action,action
<SOS> support female sport one best soccer manager <UNK> new womens soccer manager platform make soccer dream come true become manager favorite soccer club use knowledge tactical skill build pro soccer career manager womens soccer <UNK> club real soccer league build personal dream <UNK> favorite club one numerous women's soccer league around world manage famous club like barcelona arsenal lyon authentic soccer player recruit exciting star strengthen team compete national pro soccer league cup ch,sports,sports,0.9878309369087219,1,sports|strategy,simulation|sports
<SOS> play shark diver dark aquatic world overcome enemy employing cunning teamwork stealth depth blend tension visceral action team ai matched player heart pounding <UNK> <UNK> one 7 shark specie speed sens greatest weapon stalk prey across ocean tear half razor sharp teeth great white tiger mako bull hammerhead <UNK> even legendary <UNK> <UNK> human diver must explore abyss search treasure upgrade arsenal defend range high powered gear <UNK> pistol underwater assault rifle explosive sea <UNK> ,action,action,0.916841983795166,1,action,action
<SOS> new type tactical rpg title flip script slime weakest rpg enemy ability take enemy unit <UNK> strategic turnbased rpg slime control slime take enemy control <UNK> example slime utilise archer use magic take magician even <UNK> enemy bribe take <UNK> addition various kind <UNK> <UNK> improve ability possessed <UNK> many moreeach stage pose key strategic question slime use enemy take <UNK> example element slime important capture tough cannot win charging recklessly tactic <UNK> appearance ma,rpg,rpg,0.9835304617881775,1,rpg|simulation|strategy,rpg|strategy
