text,true,pred,prob_pred,correct,true_labels,pred_labels
<SOS> bug spring cleaning notice whole stampede animal running away fear manages stop turtle state tasmanian devil loose not knowing tasmanian devil bug go back hole look <UNK> describes taz strong <UNK> beast ravenous appetite eating several animal though not including rabbit taz appears next <UNK> writing rabbit book getting bugs' attention bug us charm convince taz work together look groundhog unsuccessfully attempting bury devil bury cold cold ground taz attack bug feigns smelling chicken es,other,romance,0.6328923106193542,0,other,drama|romance|thriller
<SOS> ravi vijay youth thoothukudi aspires become policeman like role model <UNK> encounter specialist dcp devaraj ip srihari completing twelfth standard seventh attempt join college chennai partly earns living driving auto rickshaw course meet information technology professional susheela anushka shetty fall love instantly although susheela reject ravi's advance first ravi get help grandmother <UNK> succeeds winning <UNK> heart meanwhile entire district ruled devaraj relieved police duty without,action,romance,0.8144303560256958,0,action,action|drama|romance|thriller
<SOS> film love story prince gypsy girl based parsi play written joseph david david later served writer <UNK> film company story centre imaginary historical royal family kingdom <UNK> main character king sultan saleem khan two warring wife <UNK> begum <UNK> begum rivalry escalates fakir predicts <UNK> bear king's heir <UNK> fit attempt affair kingdom's chief minister general adil khan prithviraj kapoor affair go sour vengeful <UNK> imprisons exile daughter alam ara <UNK> <UNK> exile <UNK> brough,other,romance,0.840867280960083,0,other,action|drama|romance|thriller
<SOS> slum new york east river <UNK> bridge wealthy people live opulent luxurious apartment picturesque view river destitute poor live nearby crowded <UNK> tenement end street dock east river left luxury apartment right slum dead end kid led tommy gordon billy halop gang street urchin already well path life petty crime member gang besides tommy include <UNK> huntz hall angel bobby jordan spit leo gorcey tb gabriel dell <UNK> bernard <UNK> new kid block search friend spit bit malicious cruel stre,crime,musical,0.7638986706733704,0,crime|drama,adventure|crime|drama|musical|western
<SOS> george <UNK> kind average auto mechanic small town northern california celebrating <UNK> birthday local bar best friend nate father figure doc <UNK> step outside drunk ball shining bright white light move around sky grows closer hit head making loud sound knocking come reenters bar learns nobody else saw light nor hear sound doc notice something amiss george quickly achieves <UNK> chess game george begin exhibit remarkable level intelligence easily absorbs vast amount information formulate,drama,musical,0.7812680602073669,0,drama,adventure|crime|drama|musical|western
<SOS> kelly <UNK> aspiring writer <UNK> magazine keep rejecting racy submission kelly decides show magazine boy missing creates fake identity pretending story young woman's wild way actually <UNK> lecherous editor sir hubert suave editor <UNK> colby like concept sure trust fact kelly try fool staging orgy apartment building asking friendly tenant go along scheme sgt hooker vice squad feel fooling however place kelly arrest <UNK> come rescue hoax revealed decides get revenge insisting kelly pose ,comedy,romance,0.5934953093528748,0,comedy,drama|musical|romance|thriller
<SOS> film begin electrician cary <UNK> monitoring electricity box behind old house peering window see huge marijuana crop something pull window hear give dying scream cut see gretel quinn boyfriend ashton smoking marijuana <UNK> room <UNK> new strain called black forest produced little old lady living pasadena <UNK> older brother hansel welch come home <UNK> stoned pair box <UNK> cookie mix gretel agrees bake cooky ashton go buy black forest old lady ashton invited old lady's house lady's name ,comedy,romance,0.6612001061439514,0,comedy|horror,drama|romance|thriller
<SOS> begin krishna yogi young photographer girlfriend sona <UNK> rao accidentally run young woman drive home night's party deserted stretch east coast road near chennai decide leave dead body drive away later krishna discovers something strange find mysterious shadow appears picture take camera ever since accident krishna experiencing shoulder neck pain think that's bad picture realizes something much sinister behind shadow picture frame extremely unsettling dream unable cope start investigatin,horror,romance,0.7029926180839539,0,horror,drama|romance|thriller
<SOS> <UNK> homeworld orcs torn apart mysterious force known <UNK> magic gul'dan powerful orc warlock unites orc clan form horde creates portal world <UNK> orcs begin use <UNK> magic drain life captive <UNK> order sustain portal operational gul'dan lead small <UNK> capture prisoner <UNK> sacrifice bring rest horde portal <UNK> chieftain <UNK> clan pregnant mate <UNK> friend <UNK> <UNK> join initial <UNK> crossing portal <UNK> go labor orcs arrive <UNK> gul'dan assist <UNK> giving birth baby born,other,adventure,0.7419145107269287,0,other,action|adventure|horror|musical|other|thriller
<SOS> marius o'dowd shaun <UNK> irish doctor often drunk daughterinlaw moira pamela wood dy serious operation o'dowd performing although o'dowd not blame son stephen liam <UNK> suspect moira died due o'dowd operating influence alcohol accuses criminal neglect o'dowd consequently license practice medicine taken away stephen also not tell daughter pat peggy cummins marius grandfather although several year later becomes friend marius work marius eventually manages redeem saving stephen's life outbr,drama,musical,0.7419418096542358,0,drama,adventure|crime|drama|musical|western
<SOS> oxford student arthur arthur askey stinker richard murdoch albert graham moffatt danger sent expelled bad behaviour learning dean <UNK> college amateur egyptologist <UNK> played lead stage version charley's <UNK> albert's wealthy aunt lucy might finance archeological expedition dean lenient nephew friend unfortunately real aunt lucy pick day pay visit oxford <UNK> result <EOS>,comedy,musical,0.6398866772651672,0,comedy,adventure|drama|musical|other|thriller
<SOS> joint <UNK> plot devised steal highly advanced soviet fighter aircraft <UNK> nato code name <UNK> capable mach 6 invisible radar carry weapon controlled thought former united state air force major mitchell gant vietnam veteran former pow infiltrates soviet union aided ability speak russian due russian mother network soviet dissident three key scientist working fighter goal steal <UNK> fly back friendly territory analysis however kgb gotten wind operation already looking gant dissident gant,action,musical,0.6117433905601501,0,action,adventure|drama|musical|other|thriller
<SOS> <UNK> captain walton lead troubled expedition reach north pole ship trapped ice arctic sea crew discovers man victor frankenstein traveling across arctic victor proceeds tell walton crew life story victor grows geneva adopted sister elizabeth <UNK> become love life leaf university <UNK> victor's mother dy giving birth brother william traumatized grief afterward victor vow mother's grave find way conquer death however shunned peer view madman eventually friend henry <UNK> meet waldman profe,horror,musical,0.7505422234535217,0,horror,adventure|crime|drama|musical|western
<SOS> ten year ago makoto survived car crash killed parent aftermath watched battle aigis ryoji back shadow known death unable defeat death aigis sealed death within makoto lost memory incident present day makoto remembers incident rest see member arrive upon finding <UNK> true identity attack easily defeated leaving ryoji reveals known nyx come bring end world ryoji give one month decide whether kill erase memory allow live remainder life blissful ignorance spare attempt fruitless battle nyx re,action,musical,0.7226307988166809,0,action,adventure|crime|drama|musical
<SOS> precious jade stone discovered old outhouse owner said outhouse surrounding building suddenly find financial clout withstand <UNK> pressure unethical developer wish build large building plot owner intending display stone public put dedicated chief security charge keeping safe stake running high easier said done developer hire hightech cat burglar hong kong steal stone owner's wayward son see jewel perfect symbol wealth hatch plan use increase chance getting laid gang three conmen hear jewe,comedy,musical,0.7171514630317688,0,comedy,adventure|crime|drama|musical
<SOS> film young aspiring cricketer jeeva dream playing india national cricket team one day film begin jeeva sitting park bench start narrate life story lower middle class boy young age interested cricket see sachin tendulkar idol though father initially not support later start request friend jeeva grows becomes part school team excels game turn star player seeing performance local cricket club offer chance join train father disagrees saying academic performance poor due cricket may not get job ,drama,romance,0.8523597121238708,0,drama,action|drama|romance|thriller
<SOS> <UNK> kavya madhavan married government employee named viswanathan <UNK> viswanathan committed family includes two kid mother thing go horribly wrong becomes alcoholic fed husband's incorrigible way <UNK> forced become <UNK> form turning point film <EOS>,drama,musical,0.7237407565116882,0,drama,adventure|crime|drama|musical
