text,true,pred,prob_pred,correct,true_labels,pred_labels
<SOS> afternoon tea english ritual social well culinary affair little book english tea present exquisite array afternoon tea fare dainty sandwich biscuit <UNK> muffin cake traditional english recipe given delight egg watercress sandwich <UNK> cheese scone florentine maid honor <UNK> many favorite recipe accompanied delightful fullcolor illustration <EOS>,cooking,cooking,0.9867269396781921,1,cooking,cooking
<SOS> daisy miller naive young american woman traveling europe family find difficult understand <UNK> society <EOS>,other,other,0.6365270018577576,1,other,other|religion|science
<SOS> text priscilla <UNK> christmas love today sprang festive parlor <UNK> hall century ago life still lush page joy world specially embossed diecut jacket wrap book like precious gift selection literary guild better home garden family book service <UNK> copy print <EOS>,religion,juvenile,0.9242696166038513,0,religion,juvenile
<SOS> trio wild witty romance novella chronicle romantic escapade three former sorority <UNK> bryce escape reputation good girl <UNK> jennifer clark find love fellow agent bryan matthew former college brainiac caroline <UNK> collection includes six week sensuality code pink fantasy forever original <EOS>,romance,romance,0.9937294721603394,1,romance,romance
<SOS> examines internal operation television news answer many basic journalistic question beginning <EOS>,other,history,0.9358882904052734,0,other,history|juvenile|science
<SOS> first glorious fullcolor lifestyle book gardening decorating cooking herb 450 fullcolor illustration 25 blackandwhite illustration <EOS>,other,cooking,0.9384187459945679,0,other,cooking|juvenile
<SOS> studentfriendly style book make content accessible without sacrificing either breadth depth coverage text's informal writing style emphasis problem solving stateoftheart medium package make book ideal fit school large class size wide range student ability background authors' goal create complete package text medium supplement would challenge <UNK> student provide support lesser prepared student giving student chance succeed 4e welcome new coauthor fred <UNK> <UNK> state university creator ,science,other,0.9570227861404419,0,science,other
<SOS> sixthgrader jeremy thatcher discovers strange magic shop never seen enters life changed forever buying think marble discovers really purchased dragon's egg <EOS>,juvenile,juvenile,0.9721388816833496,1,juvenile,juvenile
<SOS> friedrich <UNK> considered one significant playwright time year cold war arguably beckett camus sartre brecht rivaled presence european letter alta national translation awardwinning new translation many critic consider finest play joel agee give fresh lease classic twentiethcentury theater <UNK> wrote best understood one grasp <UNK> andthe visit consummate alarming <UNK> blend hilarity horror vertigo play take place somewhere central europe tell elderly millionairess merely promise million,other,other,0.8676974177360535,1,other,other
<SOS> ben decides take baby sister show tell simply stop cry soon whole school chaos teacher principal even doctor try cheer <EOS>,juvenile,juvenile,0.992283284664154,1,juvenile,juvenile
